Group,Sentence,Expected_Referent,Pronoun
9,The librarian and the research scientist worked closely because he requested assistance with the new journal.,research scientist,he
9,The research scientist and the librarian worked closely because he requested assistance with the new journal.,research scientist,he
10,The movie director and the fashion model attended the party where she was the guest of honor.,fashion model,she
10,The fashion model and the movie director attended the party where she was the guest of honor.,fashion model,she
10,The fashion model and the movie director attended the party where he was the guest of honor.,movie director,he
10,The movie director and the fashion model attended the party where he was the guest of honor.,movie director,he
11,The pilot and the flight attendant prepared for the flight because she confirmed the schedule.,flight attendant,she
11,The flight attendant and the pilot prepared for the flight because she confirmed the schedule.,flight attendant,she
11,The flight attendant and the pilot prepared for the flight because he confirmed the schedule.,pilot,he
11,The pilot and the flight attendant prepared for the flight because he confirmed the schedule.,pilot,he
12,The lawyer and the paralegal reviewed case files because she found a crucial detail.,paralegal,she
12,The paralegal and the lawyer reviewed case files because she found a crucial detail.,paralegal,she
12,The paralegal and the lawyer reviewed case files because he found a crucial detail.,lawyer,he
12,The lawyer and the paralegal reviewed case files because he found a crucial detail.,lawyer,he
13,The engineer and the technician inspected the project site because she noted a design flaw.,technician,she
13,The technician and the engineer inspected the project site because she noted a design flaw.,technician,she
13,The technician and the engineer inspected the project site because he noted a design flaw.,engineer,he
13,The engineer and the technician inspected the project site because he noted a design flaw.,engineer,he
14,The firefighter and the emergency dispatcher coordinated the emergency response because she received a distress call.,emergency dispatcher,she
14,The emergency dispatcher and the firefighter coordinated the emergency response because she received a distress call.,emergency dispatcher,she
14,The emergency dispatcher and the firefighter coordinated the emergency response because he received a distress call.,firefighter,he
14,The firefighter and the emergency dispatcher coordinated the emergency response because he received a distress call.,firefighter,he
15,The police officer and the community liaison discussed community concerns because she gathered local feedback.,community liaison,she
15,The community liaison and the police officer discussed community concerns because she gathered local feedback.,community liaison,she
15,The community liaison and the police officer discussed community concerns because he gathered local feedback.,police officer,he
15,The police officer and the community liaison discussed community concerns because he gathered local feedback.,police officer,he
16,The banker and the teller analyzed the accounts because she identified a discrepancy.,teller,she
16,The teller and the banker analyzed the accounts because she identified a discrepancy.,teller,she
16,The teller and the banker analyzed the accounts because he identified a discrepancy.,banker,he
16,The banker and the teller analyzed the accounts because he identified a discrepancy.,banker,he
17,The software developer and the UX designer debugged the application because she reported a user interface issue.,UX designer,she
17,The UX designer and the software developer debugged the application because she reported a user interface issue.,UX designer,she
17,The UX designer and the software developer debugged the application because he reported a user interface issue.,software developer,he
17,The software developer and the UX designer debugged the application because he reported a user interface issue.,software developer,he
18,The construction manager and the safety inspector evaluated the worksite because she noticed a safety violation.,safety inspector,she
18,The safety inspector and the construction manager evaluated the worksite because she noticed a safety violation.,safety inspector,she
18,The safety inspector and the construction manager evaluated the worksite because he noticed a safety violation.,construction manager,he
18,The construction manager and the safety inspector evaluated the worksite because he noticed a safety violation.,construction manager,he
19,The veterinarian and the dog groomer discussed patient care because she highlighted a treatment plan.,dog groomer,she
19,The dog groomer and the veterinarian discussed patient care because she highlighted a treatment plan.,dog groomer,she
19,The dog groomer and the veterinarian discussed patient care because he highlighted a treatment plan.,veterinarian,he
19,The veterinarian and the dog groomer discussed patient care because he highlighted a treatment plan.,veterinarian,he
20,The scientist and the lab technician collaborated on the experiment because she prepared the samples.,lab technician,she
20,The lab technician and the scientist collaborated on the experiment because she prepared the samples.,lab technician,she
20,The lab technician and the scientist collaborated on the experiment because he prepared the samples.,scientist,he
20,The scientist and the lab technician collaborated on the experiment because he prepared the samples.,scientist,he
21,The journalist and the research assistant gathered information because she uncovered a lead.,research assistant,she
21,The research assistant and the journalist gathered information because she uncovered a lead.,research assistant,she
21,The research assistant and the journalist gathered information because he uncovered a lead.,journalist,he
21,The journalist and the research assistant gathered information because he uncovered a lead.,journalist,he
22,The consultant and the analyst reviewed the project proposal because she spotted an opportunity.,analyst,she
22,The analyst and the consultant reviewed the project proposal because she spotted an opportunity.,analyst,she
22,The analyst and the consultant reviewed the project proposal because he spotted an opportunity.,consultant,he
22,The consultant and the analyst reviewed the project proposal because he spotted an opportunity.,consultant,he
23,The real estate agent and the property manager inspected the property because she received a tenant complaint.,property manager,she
23,The property manager and the real estate agent inspected the property because she received a tenant complaint.,property manager,she
23,The property manager and the real estate agent inspected the property because he received a tenant complaint.,real estate agent,he
23,The real estate agent and the property manager inspected the property because he received a tenant complaint.,real estate agent,he
24,The photographer and the stylist planned the photo shoot because she selected the perfect setting.,stylist,she
24,The stylist and the photographer planned the photo shoot because she selected the perfect setting.,stylist,she
24,The stylist and the photographer planned the photo shoot because he selected the perfect setting.,photographer,he
24,The photographer and the stylist planned the photo shoot because he selected the perfect setting.,photographer,he
25,The personal trainer and the nutritionist designed a fitness plan because she evaluated dietary habits.,nutritionist,she
25,The nutritionist and the personal trainer designed a fitness plan because she evaluated dietary habits.,nutritionist,she
25,The nutritionist and the personal trainer designed a fitness plan because he evaluated dietary habits.,personal trainer,he
25,The personal trainer and the nutritionist designed a fitness plan because he evaluated dietary habits.,personal trainer,he
26,The financial advisor and the accountant analyzed the budget because she detected an inconsistency.,accountant,she
26,The accountant and the financial advisor analyzed the budget because she detected an inconsistency.,accountant,she
26,The accountant and the financial advisor analyzed the budget because he detected an inconsistency.,financial advisor,he
26,The financial advisor and the accountant analyzed the budget because he detected an inconsistency.,financial advisor,he
27,The judge and the clerk reviewed the legal documents because she noted an important amendment.,clerk,she
27,The clerk and the judge reviewed the legal documents because she noted an important amendment.,clerk,she
27,The clerk and the judge reviewed the legal documents because he noted an important amendment.,judge,he
27,The judge and the clerk reviewed the legal documents because he noted an important amendment.,judge,he
28,The marketing director and the event coordinator organized the promotional event because she secured a sponsorship.,event coordinator,she
28,The event coordinator and the marketing director organized the promotional event because she secured a sponsorship.,event coordinator,she
28,The event coordinator and the marketing director organized the promotional event because he secured a sponsorship.,marketing director,he
28,The marketing director and the event coordinator organized the promotional event because he secured a sponsorship.,marketing director,he
29,The researcher and the data analyst studied the survey results because she identified a significant trend.,data analyst,she
29,The data analyst and the researcher studied the survey results because she identified a significant trend.,data analyst,she
29,The data analyst and the researcher studied the survey results because he identified a significant trend.,researcher,he
29,The researcher and the data analyst studied the survey results because he identified a significant trend.,researcher,he
30,The architect and the interior designer discussed the renovation plans because she proposed a new layout.,interior designer,she
30,The interior designer and the architect discussed the renovation plans because she proposed a new layout.,interior designer,she
30,The interior designer and the architect discussed the renovation plans because he proposed a new layout.,architect,he
30,The architect and the interior designer discussed the renovation plans because he proposed a new layout.,architect,he
31,The computer programmer and the web designer updated the website because she suggested an innovative feature.,web designer,she
31,The web designer and the computer programmer updated the website because she suggested an innovative feature.,web designer,she
31,The web designer and the computer programmer updated the website because he suggested an innovative feature.,computer programmer,he
31,The computer programmer and the web designer updated the website because he suggested an innovative feature.,computer programmer,he
32,The consultant and the assistant manager planned the strategy meeting because she anticipated a market shift.,assistant manager,she
32,The assistant manager and the consultant planned the strategy meeting because she anticipated a market shift.,assistant manager,she
32,The assistant manager and the consultant planned the strategy meeting because he anticipated a market shift.,consultant,he
32,The consultant and the assistant manager planned the strategy meeting because he anticipated a market shift.,consultant,he
33,The editor and the proofreader reviewed the manuscript because she found several errors.,proofreader,she
33,The proofreader and the editor reviewed the manuscript because she found several errors.,proofreader,she
33,The proofreader and the editor reviewed the manuscript because he found several errors.,editor,he
33,The editor and the proofreader reviewed the manuscript because he found several errors.,editor,he
34,The director and the producer planned the film shoot because she outlined the production schedule.,producer,she
34,The producer and the director planned the film shoot because she outlined the production schedule.,producer,she
34,The producer and the director planned the film shoot because he outlined the production schedule.,director,he
34,The director and the producer planned the film shoot because he outlined the production schedule.,director,he
35,The sports coach and the team manager arranged the training session because she reviewed the team’s performance.,team manager,she
35,The team manager and the sports coach arranged the training session because she reviewed the team’s performance.,team manager,she
35,The team manager and the sports coach arranged the training session because he reviewed the team’s performance.,sports coach,he
35,The sports coach and the team manager arranged the training session because he reviewed the team’s performance.,sports coach,he
36,The zookeeper and the veterinarian assistant prepared the animal enclosure because she checked the health reports.,veterinarian assistant,she
36,The veterinarian assistant and the zookeeper prepared the animal enclosure because she checked the health reports.,veterinarian assistant,she
36,The veterinarian assistant and the zookeeper prepared the animal enclosure because he checked the health reports.,zookeeper,he
36,The zookeeper and the veterinarian assistant prepared the animal enclosure because he checked the health reports.,zookeeper,he
37,The hotel manager and the event planner coordinated the banquet because she finalized the guest list.,event planner,she
37,The event planner and the hotel manager coordinated the banquet because she finalized the guest list.,event planner,she
37,The event planner and the hotel manager coordinated the banquet because he finalized the guest list.,hotel manager,he
37,The hotel manager and the event planner coordinated the banquet because he finalized the guest list.,hotel manager,he
38,The investment banker and the financial analyst evaluated the merger because she projected future profits.,financial analyst,she
38,The financial analyst and the investment banker evaluated the merger because she projected future profits.,financial analyst,she
38,The financial analyst and the investment banker evaluated the merger because he projected future profits.,investment banker,he
38,The investment banker and the financial analyst evaluated the merger because he projected future profits.,investment banker,he
39,The IT consultant and the technical support specialist troubleshot the system because she detected a network issue.,technical support specialist,she
39,The technical support specialist and the IT consultant troubleshot the system because she detected a network issue.,technical support specialist,she
39,The technical support specialist and the IT consultant troubleshot the system because he detected a network issue.,IT consultant,he
39,The IT consultant and the technical support specialist troubleshot the system because he detected a network issue.,IT consultant,he
40,The professor and the research coordinator prepared the research proposal because she gathered critical data.,research coordinator,she
40,The research coordinator and the professor prepared the research proposal because she gathered critical data.,research coordinator,she
40,The research coordinator and the professor prepared the research proposal because he gathered critical data.,professor,he
40,The professor and the research coordinator prepared the research proposal because he gathered critical data.,professor,he
41,The software engineer and the quality assurance tester ran diagnostics because she uncovered a system bug.,quality assurance tester,she
41,The quality assurance tester and the software engineer ran diagnostics because she uncovered a system bug.,quality assurance tester,she
41,The quality assurance tester and the software engineer ran diagnostics because he uncovered a system bug.,software engineer,he
41,The software engineer and the quality assurance tester ran diagnostics because he uncovered a system bug.,software engineer,he
42,The car salesman and the financing officer discussed the deal because she clarified the loan terms.,financing officer,she
42,The financing officer and the car salesman discussed the deal because she clarified the loan terms.,financing officer,she
42,The financing officer and the car salesman discussed the deal because he clarified the loan terms.,car salesman,he
42,The car salesman and the financing officer discussed the deal because he clarified the loan terms.,car salesman,he
43,The musician and the sound technician rehearsed the set because she adjusted the acoustics.,sound technician,she
43,The sound technician and the musician rehearsed the set because she adjusted the acoustics.,sound technician,she
43,The sound technician and the musician rehearsed the set because he adjusted the acoustics.,musician,he
43,The musician and the sound technician rehearsed the set because he adjusted the acoustics.,musician,he
44,The sports commentator and the field reporter covered the game because she received a breaking update.,field reporter,she
44,The field reporter and the sports commentator covered the game because she received a breaking update.,field reporter,she
44,The field reporter and the sports commentator covered the game because he received a breaking update.,sports commentator,he
44,The sports commentator and the field reporter covered the game because he received a breaking update.,sports commentator,he
45,The lifeguard and the beach attendant monitored the pool area because she spotted a safety concern.,beach attendant,she
45,The beach attendant and the lifeguard monitored the pool area because she spotted a safety concern.,beach attendant,she
45,The beach attendant and the lifeguard monitored the pool area because he spotted a safety concern.,lifeguard,he
45,The lifeguard and the beach attendant monitored the pool area because he spotted a safety concern.,lifeguard,he
46,The author and the literary agent revised the draft because she received new feedback.,literary agent,she
46,The literary agent and the author revised the draft because she received new feedback.,literary agent,she
46,The literary agent and the author revised the draft because he received new feedback.,author,he
46,The author and the literary agent revised the draft because he received new feedback.,author,he
47,The optometrist and the optician reviewed the patient charts because she adjusted the prescription.,optician,she
47,The optician and the optometrist reviewed the patient charts because she adjusted the prescription.,optician,she
47,The optician and the optometrist reviewed the patient charts because he adjusted the prescription.,optometrist,he
47,The optometrist and the optician reviewed the patient charts because he adjusted the prescription.,optometrist,he
48,The banker and the loan officer evaluated the mortgage application because she noted unusual figures.,loan officer,she
48,The loan officer and the banker evaluated the mortgage application because she noted unusual figures.,loan officer,she
48,The loan officer and the banker evaluated the mortgage application because he noted unusual figures.,banker,he
48,The banker and the loan officer evaluated the mortgage application because he noted unusual figures.,banker,he
49,The economist and the research assistant analyzed the market trends because she uncovered economic shifts.,research assistant,she
49,The research assistant and the economist analyzed the market trends because she uncovered economic shifts.,research assistant,she
49,The research assistant and the economist analyzed the market trends because he uncovered economic shifts.,economist,he
49,The economist and the research assistant analyzed the market trends because he uncovered economic shifts.,economist,he
50,The urban planner and the city coordinator developed a new project because she secured community support.,city coordinator,she
50,The city coordinator and the urban planner developed a new project because she secured community support.,city coordinator,she
50,The city coordinator and the urban planner developed a new project because he secured community support.,urban planner,he
50,The urban planner and the city coordinator developed a new project because he secured community support.,urban planner,he
51,The consultant and the project manager updated the project timeline because she identified a delay.,project manager,she
51,The project manager and the consultant updated the project timeline because she identified a delay.,project manager,she
51,The project manager and the consultant updated the project timeline because he identified a delay.,consultant,he
51,The consultant and the project manager updated the project timeline because he identified a delay.,consultant,he
52,The professor and the academic advisor discussed curriculum changes because she received student feedback.,academic advisor,she
52,The academic advisor and the professor discussed curriculum changes because she received student feedback.,academic advisor,she
52,The academic advisor and the professor discussed curriculum changes because he received student feedback.,professor,he
52,The professor and the academic advisor discussed curriculum changes because he received student feedback.,professor,he
53,The judge and the court reporter overseen the courtroom proceedings because she documented key testimonies.,court reporter,she
53,The court reporter and the judge overseen the courtroom proceedings because she documented key testimonies.,court reporter,she
53,The court reporter and the judge overseen the courtroom proceedings because he documented key testimonies.,judge,he
53,The judge and the court reporter overseen the courtroom proceedings because he documented key testimonies.,judge,he
54,The actor and the dresser rehearsed for the performance because she adjusted the costume details.,dresser,she
54,The dresser and the actor rehearsed for the performance because she adjusted the costume details.,dresser,she
54,The dresser and the actor rehearsed for the performance because he adjusted the costume details.,actor,he
54,The actor and the dresser rehearsed for the performance because he adjusted the costume details.,actor,he
55,The sculptor and the gallery assistant arranged the exhibit because she prepared the artworks.,gallery assistant,she
55,The gallery assistant and the sculptor arranged the exhibit because she prepared the artworks.,gallery assistant,she
55,The gallery assistant and the sculptor arranged the exhibit because he prepared the artworks.,sculptor,he
55,The sculptor and the gallery assistant arranged the exhibit because he prepared the artworks.,sculptor,he
56,The radio host and the producer planned the broadcast because she organized the segment schedule.,producer,she
56,The producer and the radio host planned the broadcast because she organized the segment schedule.,producer,she
56,The producer and the radio host planned the broadcast because he organized the segment schedule.,radio host,he
56,The radio host and the producer planned the broadcast because he organized the segment schedule.,radio host,he
57,The software architect and the technical writer documented the system architecture because she clarified the design.,technical writer,she
57,The technical writer and the software architect documented the system architecture because she clarified the design.,technical writer,she
57,The technical writer and the software architect documented the system architecture because he clarified the design.,software architect,he
57,The software architect and the technical writer documented the system architecture because he clarified the design.,software architect,he
58,The economist and the financial reporter discussed the fiscal policy because she interpreted the latest data.,financial reporter,she
58,The financial reporter and the economist discussed the fiscal policy because she interpreted the latest data.,financial reporter,she
58,The financial reporter and the economist discussed the fiscal policy because he interpreted the latest data.,economist,he
58,The economist and the financial reporter discussed the fiscal policy because he interpreted the latest data.,economist,he
59,The cardiologist and the cardiac technician reviewed the patient reports because she monitored heart rhythms.,cardiac technician,she
59,The cardiac technician and the cardiologist reviewed the patient reports because she monitored heart rhythms.,cardiac technician,she
59,The cardiac technician and the cardiologist reviewed the patient reports because he monitored heart rhythms.,cardiologist,he
59,The cardiologist and the cardiac technician reviewed the patient reports because he monitored heart rhythms.,cardiologist,he
60,The sports agent and the player liaison negotiated the contract because she analyzed the player’s performance.,player liaison,she
60,The player liaison and the sports agent negotiated the contract because she analyzed the player’s performance.,player liaison,she
60,The player liaison and the sports agent negotiated the contract because he analyzed the player’s performance.,sports agent,he
60,The sports agent and the player liaison negotiated the contract because he analyzed the player’s performance.,sports agent,he
61,The entrepreneur and the marketing specialist launched the campaign because she identified a market gap.,marketing specialist,she
61,The marketing specialist and the entrepreneur launched the campaign because she identified a market gap.,marketing specialist,she
61,The marketing specialist and the entrepreneur launched the campaign because he identified a market gap.,entrepreneur,he
61,The entrepreneur and the marketing specialist launched the campaign because he identified a market gap.,entrepreneur,he
62,The travel agent and the tour guide planned the itinerary because she booked the exclusive tour.,tour guide,she
62,The tour guide and the travel agent planned the itinerary because she booked the exclusive tour.,tour guide,she
62,The tour guide and the travel agent planned the itinerary because he booked the exclusive tour.,travel agent,he
62,The travel agent and the tour guide planned the itinerary because he booked the exclusive tour.,travel agent,he
63,The coach and the team psychologist developed the training program because she addressed team morale.,team psychologist,she
63,The team psychologist and the coach developed the training program because she addressed team morale.,team psychologist,she
63,The team psychologist and the coach developed the training program because he addressed team morale.,coach,he
63,The coach and the team psychologist developed the training program because he addressed team morale.,coach,he
64,The firefighter and the fire investigator examined the scene because she looked into the cause of the fire.,fire investigator,she
64,The fire investigator and the firefighter examined the scene because she looked into the cause of the fire.,fire investigator,she
64,The fire investigator and the firefighter examined the scene because he looked into the cause of the fire.,firefighter,he
64,The firefighter and the fire investigator examined the scene because he looked into the cause of the fire.,firefighter,he
65,The paramedic and the dispatcher coordinated the rescue because she received an urgent call.,dispatcher,she
65,The dispatcher and the paramedic coordinated the rescue because she received an urgent call.,dispatcher,she
65,The dispatcher and the paramedic coordinated the rescue because he received an urgent call.,paramedic,he
65,The paramedic and the dispatcher coordinated the rescue because he received an urgent call.,paramedic,he
66,The scientist and the biostatistician analyzed the study data because she computed the statistics.,biostatistician,she
66,The biostatistician and the scientist analyzed the study data because she computed the statistics.,biostatistician,she
66,The biostatistician and the scientist analyzed the study data because he computed the statistics.,scientist,he
66,The scientist and the biostatistician analyzed the study data because he computed the statistics.,scientist,he
67,The civil engineer and the surveyor assessed the construction site because she measured the land.,surveyor,she
67,The surveyor and the civil engineer assessed the construction site because she measured the land.,surveyor,she
67,The surveyor and the civil engineer assessed the construction site because he measured the land.,civil engineer,he
67,The civil engineer and the surveyor assessed the construction site because he measured the land.,civil engineer,he
68,The veterinarian and the animal caretaker reviewed the treatment plan because she monitored the recovery.,animal caretaker,she
68,The animal caretaker and the veterinarian reviewed the treatment plan because she monitored the recovery.,animal caretaker,she
68,The animal caretaker and the veterinarian reviewed the treatment plan because he monitored the recovery.,veterinarian,he
68,The veterinarian and the animal caretaker reviewed the treatment plan because he monitored the recovery.,veterinarian,he
69,The radio journalist and the sound editor reported live because she adjusted the audio levels.,sound editor,she
69,The sound editor and the radio journalist reported live because she adjusted the audio levels.,sound editor,she
69,The sound editor and the radio journalist reported live because he adjusted the audio levels.,radio journalist,he
69,The radio journalist and the sound editor reported live because he adjusted the audio levels.,radio journalist,he
70,The director and the set designer planned the stage layout because she envisioned a creative setup.,set designer,she
70,The set designer and the director planned the stage layout because she envisioned a creative setup.,set designer,she
70,The set designer and the director planned the stage layout because he envisioned a creative setup.,director,he
70,The director and the set designer planned the stage layout because he envisioned a creative setup.,director,he
71,The choreographer and the dance instructor designed the routine because she selected the music.,dance instructor,she
71,The dance instructor and the choreographer designed the routine because she selected the music.,dance instructor,she
71,The dance instructor and the choreographer designed the routine because he selected the music.,choreographer,he
71,The choreographer and the dance instructor designed the routine because he selected the music.,choreographer,he
72,The real estate developer and the property consultant evaluated the project because she analyzed market trends.,property consultant,she
72,The property consultant and the real estate developer evaluated the project because she analyzed market trends.,property consultant,she
72,The property consultant and the real estate developer evaluated the project because he analyzed market trends.,real estate developer,he
72,The real estate developer and the property consultant evaluated the project because he analyzed market trends.,real estate developer,he
73,The financial analyst and the client relations specialist reviewed the portfolio because she noticed unusual activity.,client relations specialist,she
73,The client relations specialist and the financial analyst reviewed the portfolio because she noticed unusual activity.,client relations specialist,she
73,The client relations specialist and the financial analyst reviewed the portfolio because he noticed unusual activity.,financial analyst,he
73,The financial analyst and the client relations specialist reviewed the portfolio because he noticed unusual activity.,financial analyst,he
74,The market researcher and the brand strategist studied consumer behavior because she gathered new insights.,brand strategist,she
74,The brand strategist and the market researcher studied consumer behavior because she gathered new insights.,brand strategist,she
74,The brand strategist and the market researcher studied consumer behavior because he gathered new insights.,market researcher,he
74,The market researcher and the brand strategist studied consumer behavior because he gathered new insights.,market researcher,he
75,The policy advisor and the legislative assistant drafted the proposal because she summarized public opinion.,legislative assistant,she
75,The legislative assistant and the policy advisor drafted the proposal because she summarized public opinion.,legislative assistant,she
75,The legislative assistant and the policy advisor drafted the proposal because he summarized public opinion.,policy advisor,he
75,The policy advisor and the legislative assistant drafted the proposal because he summarized public opinion.,policy advisor,he
76,The civil servant and the public relations officer organized the community event because she coordinated local support.,public relations officer,she
76,The public relations officer and the civil servant organized the community event because she coordinated local support.,public relations officer,she
76,The public relations officer and the civil servant organized the community event because he coordinated local support.,civil servant,he
76,The civil servant and the public relations officer organized the community event because he coordinated local support.,civil servant,he
77,The historian and the curator prepared the exhibition because she researched historical artifacts.,curator,she
77,The curator and the historian prepared the exhibition because she researched historical artifacts.,curator,she
77,The curator and the historian prepared the exhibition because he researched historical artifacts.,historian,he
77,The historian and the curator prepared the exhibition because he researched historical artifacts.,historian,he
78,The statistician and the data scientist analyzed the survey because she discovered significant correlations.,data scientist,she
78,The data scientist and the statistician analyzed the survey because she discovered significant correlations.,data scientist,she
78,The data scientist and the statistician analyzed the survey because he discovered significant correlations.,statistician,he
78,The statistician and the data scientist analyzed the survey because he discovered significant correlations.,statistician,he
79,The security guard and the front desk attendant monitored the premises because she noticed suspicious activity.,front desk attendant,she
79,The front desk attendant and the security guard monitored the premises because she noticed suspicious activity.,front desk attendant,she
79,The front desk attendant and the security guard monitored the premises because he noticed suspicious activity.,security guard,he
79,The security guard and the front desk attendant monitored the premises because he noticed suspicious activity.,security guard,he
80,The environmental scientist and the wildlife coordinator studied the habitat because she observed animal patterns.,wildlife coordinator,she
80,The wildlife coordinator and the environmental scientist studied the habitat because she observed animal patterns.,wildlife coordinator,she
80,The wildlife coordinator and the environmental scientist studied the habitat because he observed animal patterns.,environmental scientist,he
80,The environmental scientist and the wildlife coordinator studied the habitat because he observed animal patterns.,environmental scientist,he
81,The fashion designer and the style consultant developed the collection because she curated the fabric samples.,style consultant,she
81,The style consultant and the fashion designer developed the collection because she curated the fabric samples.,style consultant,she
81,The style consultant and the fashion designer developed the collection because he curated the fabric samples.,fashion designer,he
81,The fashion designer and the style consultant developed the collection because he curated the fabric samples.,fashion designer,he
82,The photojournalist and the editor captured the moment because she adjusted the layout.,editor,she
82,The editor and the photojournalist captured the moment because she adjusted the layout.,editor,she
82,The editor and the photojournalist captured the moment because he adjusted the layout.,photojournalist,he
82,The photojournalist and the editor captured the moment because he adjusted the layout.,photojournalist,he
83,The tech entrepreneur and the startup mentor hosted the workshop because she shared innovative strategies.,startup mentor,she
83,The startup mentor and the tech entrepreneur hosted the workshop because she shared innovative strategies.,startup mentor,she
83,The startup mentor and the tech entrepreneur hosted the workshop because he shared innovative strategies.,tech entrepreneur,he
83,The tech entrepreneur and the startup mentor hosted the workshop because he shared innovative strategies.,tech entrepreneur,he
84,The venture capitalist and the business analyst reviewed the investment proposal because she projected high returns.,business analyst,she
84,The business analyst and the venture capitalist reviewed the investment proposal because she projected high returns.,business analyst,she
84,The business analyst and the venture capitalist reviewed the investment proposal because he projected high returns.,venture capitalist,he
84,The venture capitalist and the business analyst reviewed the investment proposal because he projected high returns.,venture capitalist,he
85,The film editor and the production assistant cut the footage because she refined the scene transitions.,production assistant,she
85,The production assistant and the film editor cut the footage because she refined the scene transitions.,production assistant,she
85,The production assistant and the film editor cut the footage because he refined the scene transitions.,film editor,he
85,The film editor and the production assistant cut the footage because he refined the scene transitions.,film editor,he
86,The curator and the museum guide prepared the tour because she arranged the artifacts.,museum guide,she
86,The museum guide and the curator prepared the tour because she arranged the artifacts.,museum guide,she
86,The museum guide and the curator prepared the tour because he arranged the artifacts.,curator,he
86,The curator and the museum guide prepared the tour because he arranged the artifacts.,curator,he
87,The supply chain manager and the logistics coordinator reviewed the shipment schedule because she identified a delay.,logistics coordinator,she
87,The logistics coordinator and the supply chain manager reviewed the shipment schedule because she identified a delay.,logistics coordinator,she
87,The logistics coordinator and the supply chain manager reviewed the shipment schedule because he identified a delay.,supply chain manager,he
87,The supply chain manager and the logistics coordinator reviewed the shipment schedule because he identified a delay.,supply chain manager,he
88,The business consultant and the assistant director strategized the merger because she coordinated the negotiations.,assistant director,she
88,The assistant director and the business consultant strategized the merger because she coordinated the negotiations.,assistant director,she
88,The assistant director and the business consultant strategized the merger because he coordinated the negotiations.,business consultant,he
88,The business consultant and the assistant director strategized the merger because he coordinated the negotiations.,business consultant,he
89,The HR director and the talent acquisition specialist organized the recruitment drive because she planned candidate interviews.,talent acquisition specialist,she
89,The talent acquisition specialist and the HR director organized the recruitment drive because she planned candidate interviews.,talent acquisition specialist,she
89,The talent acquisition specialist and the HR director organized the recruitment drive because he planned candidate interviews.,HR director,he
89,The HR director and the talent acquisition specialist organized the recruitment drive because he planned candidate interviews.,HR director,he
90,The cybersecurity analyst and the incident responder investigated the breach because she traced the security logs.,incident responder,she
90,The incident responder and the cybersecurity analyst investigated the breach because she traced the security logs.,incident responder,she
90,The incident responder and the cybersecurity analyst investigated the breach because he traced the security logs.,cybersecurity analyst,he
90,The cybersecurity analyst and the incident responder investigated the breach because he traced the security logs.,cybersecurity analyst,he
91,The digital marketer and the social media coordinator launched the campaign because she tracked online engagement.,social media coordinator,she
91,The social media coordinator and the digital marketer launched the campaign because she tracked online engagement.,social media coordinator,she
91,The social media coordinator and the digital marketer launched the campaign because he tracked online engagement.,digital marketer,he
